-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 11/01/2021 
Location: Latitude  16.0645   Longitude 108.2234 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 155.61 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M,WS10M_RANGE
1990,1,1,27.99,20.49,0.04,77.19,2.17,2.38
1990,1,2,27.18,20.83,0.11,79.06,2.21,2.32
1990,1,3,26.86,20.58,1.27,82.25,4.08,3.91
1990,1,4,25.56,20.27,3.73,83.12,4.13,2.5
1990,1,5,26.48,19.99,0.07,77.81,3.69,1.74
1990,1,6,25.73,20.0,0.06,79.12,3.59,2.32
1990,1,7,24.99,19.85,0.39,79.56,4.31,2.7
1990,1,8,26.74,20.0,0.02,78.06,3.17,1.96
1990,1,9,28.25,20.12,0.0,79.19,2.92,2.46
1990,1,10,28.05,20.93,0.0,79.88,3.23,2.35
1990,1,11,27.44,20.74,0.01,79.56,3.53,2.42
1990,1,12,27.37,20.99,0.04,81.56,3.53,2.23
1990,1,13,26.98,21.15,0.02,84.19,4.34,2.94
1990,1,14,28.26,20.76,0.02,83.25,4.04,3.11
1990,1,15,30.11,21.19,0.34,80.94,3.39,1.89
1990,1,16,23.78,19.13,1.34,82.56,4.34,3.6
1990,1,17,26.75,19.03,0.07,79.56,3.91,3.98
1990,1,18,27.33,19.92,0.22,81.81,3.16,2.57
1990,1,19,26.95,21.36,0.07,82.44,3.2,2.49
1990,1,20,25.32,20.33,0.08,84.19,4.71,3.76
1990,1,21,25.06,19.84,0.03,82.12,4.04,2.63
1990,1,22,25.99,19.55,0.14,83.19,3.55,2.65
1990,1,23,20.44,17.1,0.44,81.56,5.27,3.03
1990,1,24,22.44,17.12,0.01,75.25,3.13,2.27
1990,1,25,24.65,17.33,0.02,79.69,3.0,3.77
1990,1,26,24.62,18.57,0.0,81.31,4.35,3.29
1990,1,27,23.62,18.9,0.0,77.38,4.01,3.05
1990,1,28,25.85,18.42,0.0,71.62,2.93,1.7
1990,1,29,26.97,18.65,0.0,70.38,2.31,2.37
1990,1,30,27.44,18.61,0.0,75.12,2.19,2.35
1990,1,31,26.46,17.89,0.01,76.69,3.69,6.27
1990,2,1,21.74,16.95,0.01,76.06,3.77,2.96
1990,2,2,25.23,16.9,0.0,77.94,2.91,2.67
1990,2,3,25.65,18.55,0.0,79.06,3.16,3.23
1990,2,4,24.12,18.34,0.03,80.75,3.55,2.48
1990,2,5,24.65,18.28,0.31,82.06,3.75,2.85
1990,2,6,23.37,19.39,0.18,87.19,4.05,2.37
1990,2,7,25.1,19.94,0.0,87.56,3.37,2.3
1990,2,8,26.23,19.6,0.0,84.06,3.37,2.33
1990,2,9,27.48,20.27,0.0,80.19,3.87,2.81
1990,2,10,28.41,20.19,0.01,80.62,3.2,2.32
1990,2,11,27.63,20.52,0.29,83.44,2.99,2.56
1990,2,12,27.19,19.98,0.65,83.69,3.68,3.03
1990,2,13,29.3,20.59,0.02,78.12,4.05,3.02
