-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 11/01/2021 
Location: Latitude  21.0155   Longitude 105.8504 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.73 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M_RANGE,WS10M
1990,1,1,23.83,15.14,1.13,80.19,2.8,2.8
1990,1,2,21.23,14.07,0.07,63.44,4.43,3.07
1990,1,3,23.22,13.99,0.06,68.25,3.31,2.38
1990,1,4,22.26,14.79,0.97,83.75,2.41,2.66
1990,1,5,28.56,16.49,1.58,80.25,3.43,2.57
1990,1,6,24.61,16.9,0.14,80.12,4.07,4.17
1990,1,7,26.85,16.52,0.13,76.19,4.8,4.39
1990,1,8,29.39,17.26,0.06,74.69,6.1,4.48
1990,1,9,31.28,17.3,0.0,72.56,5.38,3.09
1990,1,10,30.64,19.39,0.17,73.38,5.8,4.44
1990,1,11,29.69,19.61,4.13,76.94,4.59,4.44
1990,1,12,24.11,16.71,3.37,80.81,1.77,4.52
1990,1,13,25.3,17.37,7.23,84.44,2.45,3.88
1990,1,14,30.4,19.3,2.17,78.88,5.16,5.11
1990,1,15,24.85,13.75,0.9,70.44,8.47,4.74
1990,1,16,20.35,10.73,0.08,50.31,3.42,3.72
1990,1,17,25.9,10.85,0.36,66.0,6.43,3.54
1990,1,18,28.16,16.66,1.41,74.12,3.96,2.69
1990,1,19,19.9,14.37,0.18,66.69,3.05,4.35
1990,1,20,19.39,10.2,0.06,56.06,3.83,4.43
1990,1,21,20.51,7.76,0.18,62.69,1.98,2.68
1990,1,22,21.44,10.56,0.03,63.31,4.88,3.45
1990,1,23,19.54,8.85,0.0,48.19,4.96,4.6
1990,1,24,22.15,7.91,0.0,55.25,1.98,2.45
1990,1,25,23.27,8.95,0.0,67.31,2.34,2.56
1990,1,26,24.44,10.7,0.0,70.5,4.12,2.36
1990,1,27,25.15,13.26,0.0,71.75,4.76,3.05
1990,1,28,27.68,14.51,0.07,75.62,4.95,3.91
