-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 11/01/2021 
Location: Latitude  10.7393   Longitude 106.6769 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.02 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M,WS10M_RANGE
1990,1,1,32.68,22.76,0.0,66.88,4.97,3.27
1990,1,2,32.01,22.62,0.0,69.5,5.75,2.2
1990,1,3,32.59,22.05,0.04,68.5,6.38,3.18
1990,1,4,32.58,21.89,0.18,67.69,6.11,3.66
1990,1,5,33.4,21.8,0.0,62.5,4.13,5.2
1990,1,6,32.88,21.93,0.0,63.38,5.2,4.39
1990,1,7,33.59,21.21,0.0,62.94,5.49,3.64
1990,1,8,32.76,22.63,0.01,66.5,4.84,4.16
1990,1,9,32.65,24.3,0.02,69.5,4.48,3.44
1990,1,10,33.28,24.39,0.02,69.56,5.89,3.95
1990,1,11,34.11,23.67,0.1,69.06,5.67,3.61
1990,1,12,33.52,24.19,0.0,69.5,7.62,4.06
1990,1,13,33.36,23.17,0.01,69.19,6.91,5.58
1990,1,14,33.69,23.73,0.0,70.0,7.04,3.48
1990,1,15,34.03,24.05,0.0,70.19,6.67,2.78
1990,1,16,32.37,22.65,0.0,73.69,7.3,4.63
1990,1,17,31.87,23.3,0.01,70.19,7.49,3.62
1990,1,18,32.73,23.19,0.0,68.88,6.29,2.88
1990,1,19,32.26,23.12,0.04,68.94,5.98,3.51
1990,1,20,33.53,23.33,0.0,62.75,6.45,5.05
1990,1,21,33.67,22.04,0.0,61.56,6.23,4.81
1990,1,22,33.99,22.89,0.0,61.31,5.85,4.14
1990,1,23,33.5,22.31,0.0,60.5,5.33,4.35
1990,1,24,32.9,22.02,0.0,58.0,4.66,5.36
1990,1,25,33.48,22.12,0.0,59.75,4.54,4.71
1990,1,26,33.14,21.99,0.09,60.69,4.51,3.91
1990,1,27,33.0,22.8,0.17,60.56,4.89,4.25
1990,1,28,33.27,21.91,0.09,60.75,4.76,4.57
1990,1,29,34.07,21.9,0.0,62.12,4.58,4.87
1990,1,30,34.36,22.4,0.0,63.81,5.14,5.16
1990,1,31,34.83,22.4,0.0,65.38,5.01,5.45
1990,2,1,33.69,22.3,0.0,61.62,5.16,6.36
1990,2,2,34.82,22.19,0.0,60.0,5.09,4.92
1990,2,3,35.01,23.12,0.0,62.5,5.82,5.34
1990,2,4,33.69,24.21,0.0,61.62,6.3,4.02
1990,2,5,34.4,23.17,0.0,60.31,8.07,5.13
1990,2,6,32.78,23.68,0.0,61.5,9.08,5.09
1990,2,7,32.66,23.07,0.0,61.06,8.33,6.04
1990,2,8,32.52,22.59,0.0,62.81,8.17,6.41
1990,2,9,32.15,23.02,0.0,63.5,8.17,5.12
1990,2,10,33.85,22.49,0.0,65.19,7.47,5.3
1990,2,11,33.24,23.69,0.0,64.19,8.58,5.46
1990,2,12,33.4,23.27,0.0,65.25,7.44,4.54
1990,2,13,34.08,23.27,0.0,66.12,6.98,3.03
1990,2,14,33.75,23.87,0.0,68.25,6.29,3.03
1990,2,15,33.12,24.24,0.0,69.06,5.55,1.91
1990,2,16,33.67,23.64,0.0,71.56,5.31,3.91
1990,2,17,33.36,24.12,0.0,73.19,5.3,2.7
1990,2,18,32.9,24.95,0.0,70.69,6.02,2.86
1990,2,19,33.75,25.31,0.0,68.0,6.38,3.42
1990,2,20,33.48,24.86,0.0,68.88,6.06,2.73
1990,2,21,33.19,24.72,0.0,67.88,5.78,4.66
1990,2,22,33.28,24.29,0.0,65.38,4.59,2.8
1990,2,23,33.6,24.72,0.0,67.0,4.53,4.34
1990,2,24,33.96,24.19,0.0,66.88,5.77,4.77
1990,2,25,33.68,24.95,0.0,67.25,7.12,2.85
1990,2,26,33.77,24.69,0.0,69.06,6.75,2.91
1990,2,27,34.07,24.19,0.0,69.31,6.28,3.11
1990,2,28,34.36,24.12,0.0,72.44,5.54,3.99
1990,3,1,33.87,24.58,0.11,68.75,5.93,3.45
1990,3,2,34.62,24.82,0.0,67.0,6.24,5.49
1990,3,3,33.27,24.6,0.0,65.88,7.23,4.42
1990,3,4,34.85,24.83,0.0,62.25,6.65,3.59
1990,3,5,34.82,24.24,0.0,63.25,6.84,3.77
1990,3,6,33.75,25.08,0.05,66.31,7.59,2.98
1990,3,7,34.01,25.2,0.05,63.25,7.29,3.04
1990,3,8,33.48,25.69,0.01,63.12,7.24,5.8
1990,3,9,32.98,25.69,0.0,63.19,8.18,2.59
1990,3,10,35.09,24.27,0.0,59.31,6.48,5.91
1990,3,11,35.73,25.3,0.05,63.69,6.59,4.55
1990,3,12,34.69,25.87,0.31,64.88,6.8,2.93
1990,3,13,34.81,25.16,0.0,63.0,7.38,2.88
1990,3,14,34.38,25.51,0.0,64.44,8.04,2.48
1990,3,15,33.59,25.4,0.01,64.19,7.24,2.16
1990,3,16,34.34,25.03,0.0,64.44,8.09,3.9
1990,3,17,34.88,25.5,0.0,60.25,8.21,3.41
1990,3,18,35.51,24.09,0.03,57.94,7.34,5.84
1990,3,19,34.95,23.9,0.18,60.31,6.54,5.05
1990,3,20,35.63,25.65,0.0,60.12,6.68,4.2
1990,3,21,34.95,25.27,0.0,65.75,6.62,2.86
